Timestamp,Usage_kwh
2024-10-01 08:00:00,5.0
2024-10-01 09:00:00,7.5
2024-10-01 10:00:00,8.0
2024-10-01 11:00:00,9.0
2024-10-01 12:00:00,7.0
2024-10-02 08:00:00,5.5
2024-10-02 09:00:00,8.0
2024-10-02 10:00:00,8.5
2024-10-02 11:00:00,9.5
2024-10-02 12:00:00,7.5
2024-10-03 08:00:00,6.0
2024-10-03 09:00:00,8.5
2024-10-03 10:00:00,9.0
2024-10-03 11:00:00,10.0
2024-10-03 12:00:00,8.0
2024-10-04 08:00:00,6.5
2024-10-04 09:00:00,9.0
2024-10-04 10:00:00,9.5
2024-10-04 11:00:00,10.5
2024-10-04 12:00:00,8.5
